"resource_name","filename","extension","relative_path","full_path","size_bytes","modified","filename_hit","content_hits"
"runcode","runcode_ui.lua","lua","[system]\runcode\runcode_ui.lua","H:\games\pc\RedMServer\server-data\resources\[system]\runcode\runcode_ui.lua","1313","2026-07-06 21:46:38","False","2"
"runcode","runcode_web.lua","lua","[system]\runcode\runcode_web.lua","H:\games\pc\RedMServer\server-data\resources\[system]\runcode\runcode_web.lua","3687","2026-07-06 21:46:38","False","3"
"vorp_admin","admin.lua","lua","[VORP]\vorp_admin\client\admin.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\admin.lua","39912","2026-07-06 21:47:08","False","25"
"vorp_admin","boosters.lua","lua","[VORP]\vorp_admin\client\boosters.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\boosters.lua","20428","2026-07-19 11:31:28","False","4"
"vorp_admin","database.lua","lua","[VORP]\vorp_admin\client\database.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\database.lua","20632","2026-07-06 21:47:08","False","27"
"vorp_admin","devTools.lua","lua","[VORP]\vorp_admin\client\devTools.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\devTools.lua","16426","2026-07-06 21:47:08","False","4"
"vorp_admin","functions.lua","lua","[VORP]\vorp_admin\client\functions.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\functions.lua","6959","2026-07-17 17:43:02","False","2"
"vorp_admin","teleport.lua","lua","[VORP]\vorp_admin\client\teleport.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\teleport.lua","8895","2026-07-06 21:47:08","False","8"
"vorp_admin","users.lua","lua","[VORP]\vorp_admin\client\users.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\client\users.lua","12163","2026-07-06 21:47:08","False","5"
"vorp_admin","translation.lua","lua","[VORP]\vorp_admin\languages\translation.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_admin\languages\translation.lua","222444","2026-07-06 21:47:08","False","5"
"vorp_animations","config.lua","lua","[VORP]\vorp_animations\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_animations\config.lua","6532","2026-07-06 21:47:20","False","2"
"vorp_banking","client.lua","lua","[VORP]\vorp_banking\client\client.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_banking\client\client.lua","21937","2026-07-06 21:47:02","False","20"
"vorp_banking","config.lua","lua","[VORP]\vorp_banking\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_banking\config.lua","3728","2026-07-06 21:47:02","False","1"
"vorp_banking","server.lua","lua","[VORP]\vorp_banking\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_banking\server\server.lua","15366","2026-07-06 21:47:02","False","42"
"vorp_banking","language.lua","lua","[VORP]\vorp_banking\shared\language.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_banking\shared\language.lua","38969","2026-07-06 21:47:02","False","14"
"vorp_barbershop","client.lua","lua","[VORP]\vorp_barbershop\client\client.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_barbershop\client\client.lua","10027","2026-07-06 21:47:22","False","3"
"vorp_barbershop","server.lua","lua","[VORP]\vorp_barbershop\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_barbershop\server\server.lua","1420","2026-07-06 21:47:22","False","6"
"vorp_billing","main.lua","lua","[VORP]\vorp_billing\client\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_billing\client\main.lua","4136","2026-07-06 21:47:06","False","18"
"vorp_billing","config.lua","lua","[VORP]\vorp_billing\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_billing\config.lua","1639","2026-07-06 21:47:06","False","1"
"vorp_billing","Logs.lua","lua","[VORP]\vorp_billing\languages\Logs.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_billing\languages\Logs.lua","942","2026-07-06 21:47:06","False","1"
"vorp_billing","translations.lua","lua","[VORP]\vorp_billing\languages\translations.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_billing\languages\translations.lua","2126","2026-07-06 21:47:06","False","3"
"vorp_billing","main.lua","lua","[VORP]\vorp_billing\server\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_billing\server\main.lua","5475","2026-07-06 21:47:06","False","9"
"vorp_character","client.lua","lua","[VORP]\vorp_character\client\client.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\client.lua","31978","2026-07-11 20:40:12","False","3"
"vorp_character","clothingstore.lua","lua","[VORP]\vorp_character\client\clothingstore.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\clothingstore.lua","8656","2026-07-06 21:46:46","False","5"
"vorp_character","commands.lua","lua","[VORP]\vorp_character\client\commands.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\commands.lua","9279","2026-07-06 21:46:46","False","6"
"vorp_character","creator_functions.lua","lua","[VORP]\vorp_character\client\creator_functions.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\creator_functions.lua","11862","2026-07-06 21:46:46","False","4"
"vorp_character","functions.lua","lua","[VORP]\vorp_character\client\functions.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\functions.lua","19390","2026-07-06 21:46:46","False","3"
"vorp_character","menu.lua","lua","[VORP]\vorp_character\client\menu.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\client\menu.lua","130605","2026-07-24 20:41:20","False","60"
"vorp_character","config.lua","lua","[VORP]\vorp_character\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\config.lua","83792","2026-07-20 21:28:28","False","2"
"vorp_character","server.lua","lua","[VORP]\vorp_character\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\server\server.lua","13220","2026-07-20 20:25:18","False","6"
"vorp_character","translation.lua","lua","[VORP]\vorp_character\shared\translation.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_character\shared\translation.lua","134481","2026-07-06 21:46:46","False","8"
"vorp_core","callbacks.lua","lua","[VORP]\vorp_core\client\callbacks.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\client\callbacks.lua","3883","2026-07-06 21:46:44","False","2"
"vorp_core","vorp_notifications.lua","lua","[VORP]\vorp_core\client\ref\vorp_notifications.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\client\ref\vorp_notifications.lua","19610","2026-07-06 21:46:44","False","9"
"vorp_core","spawnplayer.lua","lua","[VORP]\vorp_core\client\spawnplayer.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\client\spawnplayer.lua","12293","2026-07-06 21:46:44","False","2"
"vorp_core","config.lua","lua","[VORP]\vorp_core\config\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\config\config.lua","15052","2026-07-26 13:15:40","False","3"
"vorp_core","skills.lua","lua","[VORP]\vorp_core\config\skills.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\config\skills.lua","3177","2026-07-06 21:46:44","False","1"
"vorp_core","callbacks.lua","lua","[VORP]\vorp_core\server\class\callbacks.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\class\callbacks.lua","4274","2026-07-06 21:46:44","False","2"
"vorp_core","character.lua","lua","[VORP]\vorp_core\server\class\character.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\class\character.lua","23326","2026-07-14 19:55:28","False","18"
"vorp_core","commands.lua","lua","[VORP]\vorp_core\server\commands.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\commands.lua","22739","2026-07-06 21:46:44","False","13"
"vorp_core","old_api.lua","lua","[VORP]\vorp_core\server\old_api.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\old_api.lua","3990","2026-07-06 21:46:44","False","18"
"vorp_core","dbupdater.lua","lua","[VORP]\vorp_core\server\services\dbupdater\dbupdater.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\services\dbupdater\dbupdater.lua","4271","2026-07-06 21:46:44","False","3"
"vorp_core","whitelist.lua","lua","[VORP]\vorp_core\server\whitelist.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\server\whitelist.lua","4104","2026-07-06 22:09:10","False","3"
"vorp_core","language.lua","lua","[VORP]\vorp_core\translation\language.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\translation\language.lua","158229","2026-07-06 21:46:44","False","21"
"vorp_core","classes.lua","lua","[VORP]\vorp_core\types\server\classes.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_core\types\server\classes.lua","2775","2026-07-06 21:46:44","False","2"
"vorp_crafting","client.lua","lua","[VORP]\vorp_crafting\client\client.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\client\client.lua","4126","2026-07-06 21:47:12","False","4"
"vorp_crafting","vui.lua","lua","[VORP]\vorp_crafting\client\services\vui.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\client\services\vui.lua","2100","2026-07-06 21:47:12","False","6"
"vorp_crafting","config.lua","lua","[VORP]\vorp_crafting\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\config.lua","31080","2026-07-26 11:04:18","False","52"
"vorp_crafting","fxmanifest.lua","lua","[VORP]\vorp_crafting\fxmanifest.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\fxmanifest.lua","871","2026-07-06 21:47:12","False","1"
"vorp_crafting","de.lua","lua","[VORP]\vorp_crafting\languages\de.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\de.lua","990","2026-07-06 21:47:12","False","5"
"vorp_crafting","en.lua","lua","[VORP]\vorp_crafting\languages\en.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\en.lua","957","2026-07-06 21:47:12","False","9"
"vorp_crafting","es.lua","lua","[VORP]\vorp_crafting\languages\es.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\es.lua","981","2026-07-06 21:47:12","False","1"
"vorp_crafting","fr.lua","lua","[VORP]\vorp_crafting\languages\fr.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\fr.lua","1004","2026-07-06 21:47:12","False","1"
"vorp_crafting","pt.lua","lua","[VORP]\vorp_crafting\languages\pt.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\pt.lua","961","2026-07-06 21:47:12","False","3"
"vorp_crafting","ru.lua","lua","[VORP]\vorp_crafting\languages\ru.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\languages\ru.lua","966","2026-07-06 21:47:12","False","1"
"vorp_crafting","server.lua","lua","[VORP]\vorp_crafting\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\server\server.lua","8081","2026-07-26 11:25:44","False","31"
"vorp_crafting","app.js","js","[VORP]\vorp_crafting\ui\app.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crafting\ui\app.js","10156","2026-07-24 22:13:02","False","28"
"vorp_crawfish","config.lua","lua","[VORP]\vorp_crawfish\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crawfish\config.lua","4068","2026-07-06 21:47:18","False","3"
"vorp_crawfish","items.sql","sql","[VORP]\vorp_crawfish\items\items.sql","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crawfish\items\items.sql","398","2026-07-06 21:47:18","True","0"
"vorp_crawfish","main.lua","lua","[VORP]\vorp_crawfish\server\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_crawfish\server\main.lua","7524","2026-07-06 21:47:18","False","34"
"vorp_doorlocks","main.lua","lua","[VORP]\vorp_doorlocks\client\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_doorlocks\client\main.lua","10327","2026-07-06 21:47:06","False","6"
"vorp_doorlocks","main.lua","lua","[VORP]\vorp_doorlocks\server\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_doorlocks\server\main.lua","7306","2026-07-06 21:47:06","False","2"
"vorp_fishing","server.lua","lua","[VORP]\vorp_fishing\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_fishing\server\server.lua","8556","2026-07-06 21:47:16","False","4"
"vorp_housing","server.lua","lua","[VORP]\vorp_housing\server\server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_housing\server\server.lua","5516","2026-07-06 21:47:10","False","2"
"vorp_hunting","main.lua","lua","[VORP]\vorp_hunting\client\main.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_hunting\client\main.lua","14925","2026-07-12 16:48:20","False","2"
"vorp_hunting","config.lua","lua","[VORP]\vorp_hunting\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_hunting\config.lua","86925","2026-07-06 21:47:10","False","5"
"vorp_inputs","InputsController.lua","lua","[VORP]\vorp_inputs\client\controllers\InputsController.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inputs\client\controllers\InputsController.lua","762","2026-07-06 21:46:56","False","2"
"vorp_inputs","InputsService.lua","lua","[VORP]\vorp_inputs\client\services\InputsService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inputs\client\services\InputsService.lua","2809","2026-07-06 21:46:56","False","13"
"vorp_inventory","NUIController.lua","lua","[VORP]\vorp_inventory\client\controllers\NUIController.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\controllers\NUIController.lua","6801","2026-07-06 21:46:50","False","2"
"vorp_inventory","WeaponClass.lua","lua","[VORP]\vorp_inventory\client\models\WeaponClass.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\models\WeaponClass.lua","31296","2026-07-06 21:46:50","True","38"
"vorp_inventory","ammoService.lua","lua","[VORP]\vorp_inventory\client\services\ammoService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\services\ammoService.lua","49413","2026-07-06 21:46:50","True","21"
"vorp_inventory","InventoryService.lua","lua","[VORP]\vorp_inventory\client\services\InventoryService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\services\InventoryService.lua","15613","2026-07-06 21:46:50","False","6"
"vorp_inventory","NUIService.lua","lua","[VORP]\vorp_inventory\client\services\NUIService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\services\NUIService.lua","62698","2026-07-06 21:46:50","False","60"
"vorp_inventory","PickupsService.lua","lua","[VORP]\vorp_inventory\client\services\PickupsService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\client\services\PickupsService.lua","9329","2026-07-06 21:46:50","False","11"
"vorp_inventory","ammo.lua","lua","[VORP]\vorp_inventory\config\ammo.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\ammo.lua","12867","2026-07-06 21:46:50","True","1"
"vorp_inventory","config.lua","lua","[VORP]\vorp_inventory\config\config.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\config.lua","10664","2026-07-06 21:46:50","False","1"
"vorp_inventory","config_server.lua","lua","[VORP]\vorp_inventory\config\config_server.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\config_server.lua","5154","2026-07-06 21:46:50","False","1"
"vorp_inventory","crafting.lua","lua","[VORP]\vorp_inventory\config\crafting.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\crafting.lua","4942","2026-07-06 21:46:50","True","21"
"vorp_inventory","groups.lua","lua","[VORP]\vorp_inventory\config\groups.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\groups.lua","1787","2026-07-06 21:46:50","False","1"
"vorp_inventory","weapons.lua","lua","[VORP]\vorp_inventory\config\weapons.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\config\weapons.lua","61304","2026-07-06 21:46:50","True","2"
"vorp_inventory","fxmanifest.lua","lua","[VORP]\vorp_inventory\fxmanifest.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\fxmanifest.lua","1238","2026-07-06 21:46:50","False","1"
"vorp_inventory","crafting.js","js","[VORP]\vorp_inventory\html\js\crafting.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\crafting.js","17290","2026-07-06 21:46:54","True","67"
"vorp_inventory","mainInvScript.js","js","[VORP]\vorp_inventory\html\js\mainInvScript.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\mainInvScript.js","114901","2026-07-06 21:46:54","False","10"
"vorp_inventory","script.js","js","[VORP]\vorp_inventory\html\js\script.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\script.js","44794","2026-07-06 21:46:54","False","13"
"vorp_inventory","secondaryInvScript.js","js","[VORP]\vorp_inventory\html\js\secondaryInvScript.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\secondaryInvScript.js","23471","2026-07-06 21:46:54","False","2"
"vorp_inventory","jquery-3.3.1.min.js","js","[VORP]\vorp_inventory\html\js\vendor\jquery-3.3.1.min.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\vendor\jquery-3.3.1.min.js","86927","2026-07-06 21:46:54","False","1"
"vorp_inventory","jquery-ui.js","js","[VORP]\vorp_inventory\html\js\vendor\jquery-ui.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\vendor\jquery-ui.js","606631","2026-07-06 21:46:54","False","15"
"vorp_inventory","weaponAttachments.js","js","[VORP]\vorp_inventory\html\js\weaponAttachments.js","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\html\js\weaponAttachments.js","38770","2026-07-06 21:46:54","True","0"
"vorp_inventory","language.lua","lua","[VORP]\vorp_inventory\languages\language.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\languages\language.lua","124076","2026-07-06 21:46:56","False","20"
"vorp_inventory","inventoryController.lua","lua","[VORP]\vorp_inventory\server\controllers\inventoryController.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\controllers\inventoryController.lua","3485","2026-07-06 21:46:56","False","1"
"vorp_inventory","WeaponClass.lua","lua","[VORP]\vorp_inventory\server\models\WeaponClass.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\models\WeaponClass.lua","6179","2026-07-06 21:46:56","True","8"
"vorp_inventory","DbService.lua","lua","[VORP]\vorp_inventory\server\services\DbService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\services\DbService.lua","5316","2026-07-06 21:46:56","False","18"
"vorp_inventory","inventoryApiService.lua","lua","[VORP]\vorp_inventory\server\services\inventoryApiService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\services\inventoryApiService.lua","76276","2026-07-06 21:46:56","False","65"
"vorp_inventory","inventoryService.lua","lua","[VORP]\vorp_inventory\server\services\inventoryService.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\services\inventoryService.lua","118656","2026-07-06 21:46:56","False","248"
"vorp_inventory","itemsDatabase.lua","lua","[VORP]\vorp_inventory\server\services\itemsDatabase.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\services\itemsDatabase.lua","5067","2026-07-06 21:46:56","True","7"
"vorp_inventory","types.lua","lua","[VORP]\vorp_inventory\server\types\types.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\types\types.lua","24245","2026-07-06 21:46:56","False","31"
"vorp_inventory","vorpInventoryApi.lua","lua","[VORP]\vorp_inventory\server\vorpInventoryApi.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\server\vorpInventoryApi.lua","9869","2026-07-06 21:46:56","False","10"
"vorp_inventory","ItemClass.lua","lua","[VORP]\vorp_inventory\shared\models\ItemClass.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_inventory\shared\models\ItemClass.lua","9828","2026-07-06 21:46:56","True","11"
"vorp_lib","gameEvents.lua","lua","[VORP]\vorp_lib\client\data\gameEvents.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\client\data\gameEvents.lua","114112","2026-07-06 21:46:42","False","18"
"vorp_lib","progress.lua","lua","[VORP]\vorp_lib\client\main\progress.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\client\main\progress.lua","3499","2026-07-06 21:46:42","False","10"
"vorp_lib","selector.lua","lua","[VORP]\vorp_lib\client\main\selector.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\client\main\selector.lua","5059","2026-07-06 21:46:42","False","1"
"vorp_lib","raycast.lua","lua","[VORP]\vorp_lib\client\modules\raycast.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\client\modules\raycast.lua","4311","2026-07-06 21:46:42","False","5"
"vorp_lib","import.lua","lua","[VORP]\vorp_lib\import.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\import.lua","7534","2026-07-06 21:46:42","False","2"
"vorp_lib","class.lua","lua","[VORP]\vorp_lib\shared\class.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\shared\class.lua","7469","2026-07-06 21:46:42","False","14"
"vorp_lib","metrics.lua","lua","[VORP]\vorp_lib\shared\metrics.lua","H:\games\pc\RedMServer\server-data\resources\[VORP]\vorp_lib\shared\metrics.lua","1311","2026-07-06 21:46:42","False","2"
